01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
1960,,Portugal,,,,,,,10.7
1960,Alemanha,,,,,,,,11.6
1960,Áustria,,,,,,,,12.7
1960,Bélgica,,,,,,,,12.4
1960,Bulgária,,,,,,,,8.1
1960,Chéquia,,,,,,,,9.8
1960,Chipre,,,,,,,x,
1960,Croácia,,,,,,,,10.0
1960,Dinamarca,,,,,,,,9.5
1960,Eslováquia,,,,,,,,7.8
1960,Eslovénia,,,,,,,,9.6
1960,Espanha,,,,,,,,8.6
1960,Estónia,,,,,,,,10.5
1960,Finlândia,,,,,,,,9.0
1960,França,,,,,,,x,
1960,Grécia,,,,,,,,7.3
1960,Hungria,,,,,,,,10.2
1960,Irlanda,,,,,,,,11.5
1960,Itália,,,,,,,,9.6
1960,Letónia,,,,,,,,10.0
1960,Lituânia,,,,,,,,7.8
1960,Luxemburgo,,,,,,,,11.8
1960,Malta,,,,,,,,8.6
1960,Países Baixos,,,,,,,,7.6
1960,Polónia,,,,,,,,7.6
1960,Portugal,,,,,,,,10.7
1960,Roménia,,,,,,,,8.7
1960,Suécia,,,,,,,,10.0
1961,,Portugal,,,,,,,11.2
1961,Alemanha,,,,,,,,11.2
1961,Áustria,,,,,,,,12.1
1961,Bélgica,,,,,,,,11.6
1961,Bulgária,,,,,,,,7.9
1961,Chéquia,,,,,,,,9.9
1961,Chipre,,,,,,,,10.8
1961,Croácia,,,,,,,,9.1
1961,Dinamarca,,,,,,,,9.4
1961,Eslováquia,,,,,,,,7.5
1961,Eslovénia,,,,,,,,8.8
1961,Espanha,,,,,,,,8.3
1961,Estónia,,,,,,,,10.6
1961,Finlândia,,,,,,,,9.1
1961,França,,,,,,,x,
1961,Grécia,,,,,,,,7.6
1961,Hungria,,,,,,,,9.6
1961,Irlanda,,,,,,,,12.3
1961,Itália,,,,,,,,9.3
1961,Letónia,,,,,,,,10.1
1961,Lituânia,,,,,,,,7.9
1961,Luxemburgo,,,,,,,,11.4
1961,Malta,,,,,,,,9.0
1961,Países Baixos,,,,,,,,7.6
1961,Polónia,,,,,,,,7.6
1961,Portugal,,,,,,,,11.2
1961,Roménia,,,,,,,,8.7
1961,Suécia,,,,,,,,9.8
1962,,Portugal,,,,,,,10.8
1962,Alemanha,,,,,,,,11.3
1962,Áustria,,,,,,,,12.7
1962,Bélgica,,,,,,,,12.2
1962,Bulgária,,,,,,,,8.7
1962,Chéquia,,,,,,,,10.8
1962,Chipre,,,,,,,,10.6
1962,Croácia,,,,,,,,10.0
1962,Dinamarca,,,,,,,,9.8
1962,Eslováquia,,,,,,,,8.1
1962,Eslovénia,,,,,,,,9.9
1962,Espanha,,,,,,,,8.7
1962,Estónia,,,,,,,,10.9
1962,Finlândia,,,,,,,,9.5
1962,França,,,,,,,x,
1962,Grécia,,,,,,,,7.9
1962,Hungria,,,,,,,,10.8
1962,Irlanda,,,,,,,,11.9
1962,Itália,,,,,,,,10.0
1962,Letónia,,,,,,,,10.8
1962,Lituânia,,,,,,,,8.7
1962,Luxemburgo,,,,,,,,12.6
1962,Malta,,,,,,,,8.8
1962,Países Baixos,,,,,,,,7.9
1962,Polónia,,,,,,,,7.9
1962,Portugal,,,,,,,,10.8
1962,Roménia,,,,,,,,9.2
1962,Suécia,,,,,,,,10.2
1963,,Portugal,,,,,,,10.9
1963,Alemanha,,,,,,,,11.7
1963,Áustria,,,,,,,,12.8
1963,Bélgica,,,,,,,,12.6
1963,Bulgária,,,,,,,,8.2
1963,Chéquia,,,,,,,,10.4
1963,Chipre,,,,,,,,10.4
1963,Croácia,,,,,,,,9.1
1963,Dinamarca,,,,,,,,9.8
1963,Eslováquia,,,,,,,,7.7
1963,Eslovénia,,,,,,,,9.3
1963,Espanha,,,,,,,,8.8
1963,Estónia,,,,,,,,10.5
1963,Finlândia,,,,,,,,9.3
1963,França,,,,,,,x,
1963,Grécia,,,,,,,,7.9
1963,Hungria,,,,,,,,9.9
1963,Irlanda,,,,,,,,11.8
1963,Itália,,,,,,,,10.1
1963,Letónia,,,,,,,,10.3
